"Score","Text"
1,"I have been feeding these to our dog for years to help her with her joints, especially her hips. Ever since I started her on these as a treat, meaning I gave her one in the morning and another in the evening she regained her active self and they helped her get interested in her regular meals. It was a win, win situation for our finicky eater.<br /><br />However, I would like to note, that when I started her on these treats, they were being made in the USA. Resentfully I discovered that they are now produced in China. As we know, China produces some very high end products and some real crap as well. However, when it comes to food products that come from overseas a warning flag goes up in my mind, especially if they are coming from China. Personally I never noticed anything odd with our 14 year old dog's reaction to Happy Hips. Still, I decided that I did not want to subject her to a food product coming out of China.<br /><br />Does anyone know of another product like Happy Hips with Glucosamine (for the joints) in it, that is produced in the USA?"
1,"I was very excited to find a lactose friendly ice cream that was a different flavor other than vanilla. However, this is not even close to tasting like ice cream. It has an extremely strange texture and the taste is disgusting. I tried to give it a chance, but after 5 spoonfuls, I threw out the entire pint. $5 down the drain, but that's better than the torture of ingesting this ""ice cream"". You are better off buying a soy based ice cream. These are actually very good, as long as you are used to the taste of soy, and the consistency is just like ice cream. Word to the wise, don't buy this! It's not worth the money or disappointment."
1,"I really thought the reviews were mixed because some people just don't like coconut water, so I ordered this.  It is NOT good at all.  In fact it has weird smell to it.  It is in my refrigerator, but I think I will have to throw them all away as I cannot get myself to drink it.  I did drink 1/2 of one mixed with orange juice and it didn't taste bad, but just thinking about that weird smell makes me not want to drink any more of it.<br /><br />I have bought other Vita Coco Coconut Water in the past and loved every one of them.  I should have passed on this one.  It really isn't drinkable, in my opinion."
1,"I don't have any dietary restrictions.  I bought these because of an price reduction.  I wouldn't purchase them again.  They have very few chocolate chips.  Like you have to hunt for them in the cookie.  That isn't what chocolate chip cookies should be about.<br /><br />The oatmeal version of these cookies is much better."
1,"I no longer will buy anything Kelloggs makes because they refuse to label their products when they contain GMOs. Not only that, they are spending lots of $$$$ to keep Americans (they label in the UK and Europe) in the dark about their ingredients. I support Yes on Prop 37. I want to know what I am feeding my family. Google - Kelloggs spends money to defeat Prop 37."
1,"I purchased a 16 oz. jar of this product from the same company.  I would suggest that anyone considering buying this product read my review under the 16 oz. jar listing.  The same comments would apply to this large jar, except you would be stuck with twice as much."
1,"My cat developed crystals in his urine after he began eating this food.  He always eats high-quality dry food, such as Wellness, and he wasn't under any stress, so I believe that switching to this food caused the condition.  I took him off of this and put him back on Wellness dry food, and without any other changes in his diet or environment, the crystals went away after about two weeks.  Sure enough, I later contacted Diamond and they informed me that the ash content in this dry food is 8.8%, and the magnesium = .10%.  The lower the ash content, the higher the quality of the meat is.  To give you an idea of what an acceptable amount in dry food is, Wellness contains 6.5%.  I would stay away from Diamond Naturals if you have a male cat."
1,"Ingredients from the Nutrition Facts Panel: Beef, Water, Corn Syrup, Salt, Sugar, Hydrolyzed Soya Protein, Dehydradrated Garlic, Paprika, MONOSODIUM GLUTAMATE, Spices, SODIUM ERTHYORBATE, Spice Extractives, SODIUM NITRITE.<br /><br />If you like chemical preservatives, MSG and Corn Syrup, then this is the jerky for you...<br /><br />Status: Returned."
1,"I was giddy with glee when I ordered this tea, but when I received it, I was taken aback at its potency. (It truly smelled like potpourri.)<br />I recommend that if you are bothered by strong scents that you do not purchase this product."
1,"This stuff is garbage!!<br /><br />If you don't believe me, then try them and watch your teeth do all the talking!!<br /><br />1 star."
1,"The title decieves. It's not natural. It's sugar free maple syrup. Which, at that point, is pretty gross."
1,"I love Cashews, but this product SUCKED! It had too much Pepper. I washed them off and put them in the toaster oven to freshen them up. Now they are semi descent."
1,"I bought the Cranberry Almond and the Pomegranate Blueberry Pistachio. I'm not sure how anyone can comment on the flavor - it's sooooo sweet. The non GMO glucose + the sugar + the honey masks any flavor this bar might have. It's my fault. I should have read more closely. Not sure I understand how this is a ""Low glycemic"" food. Definitely not a KIND option if you're trying to reduce your overall sugar consumption."
1,"I guess you get what you pay for... I thought I'd give this a try since it's cheaper than the big-name cider K-cups, but it was a waste of money.  I would hardly even call it cider.  It has a very weak cider flavor, but a sickeningly strong artificial sweetener flavor.  It really tastes bitter and leaves a bad aftertaste.  I hate to throw things away, so I guess I'll save the rest of the K-cups for sometime when I'm really desperate!  Would definitely not buy again!"
1,"Another non-diet food with artificial sweetener.  I tasted the bitterness of the sucralose, checked the label and sure enough,it was there at the end.  The first ingredient is SUGAR, why ruin it?  Skip this unless you're not on a diet, love sucralose, and not a chocolate lover.  Gross."
1,"Cats are carnivores.<br /><br />Science Diet has no meat.<br /><br />Instead, you get cheap corn filler, spent rice leftover from brewing beer, and meatless chicken parts that humans don't eat, like beaks."
1,"When originally produced in England  these we're the best chips I had ever tasted but unfortunately since they were bought out by the US conglomerate they now taste plain nasty. Hard rather than crispy, are much thinner than they used  to be and lacking any  flavour , a real shame."
1,"...but these taste like cardboard. The texture is reminiscent of cardboard too. I grew up loving ginger snaps and when our go-to brand was no longer available at our grocery store, we gave these a try. Needless to say, I soon stopped eating ginger snaps. They are hard as rocks out of the box, yet when they get stale you can bend them almost in half before they fall apart. Stay away. I just picked up a different brand after all these years and now I'm reminded what I've been missing."
1,"This rice tastes like dirt. I love brown basmati rice, but wow was I disappointed. It literally tastes like steamed gobs of dirt. It reminds me of Mahatma rice, which I absolutely hate since it tasted like dirt too. I'm going to try a different brand."
1,"The initial taste does hint of black cherry, but then the apple and grape juice filler comes to fore and dominates the after-taste.  It has a slight metallic taste and is not very pleasant.  The carbonation offers no benefit in the taste or feel category.  The price is high - about $1 per 8 oz can.  If I want juice, I'll stick with real juice without the carbonation."
1,"My prior two failed traps: the WHYTR-BB8 W-H-Y Trap for Wasps, Hornets and Yellow Jackets and the Victor Poison-Free M370 Yellow Jacket Magnet Disposable Bag Trap both ended without success and both left me red and swollen.  Once I was able to move again I took a trip to the hardware store and purchased the Safer Brand Deluxe Yellow Jacket/Wasp Trap, since it was the only product on the shelf that I had not purchased.<br /><br />Strike three!  This thing didn't work for me either.  I followed the instructions and filled it with grape juice (apple didn't work in previous attempts) and set the bait up.  I gotta say, of the three traps I used, this one has the stinkiest bait.  I hung it on a tree and waited three weeks.<br /><br />After three weeks I checked it and nothing, NOTHING was floating in this little plastic coffin.  I was so mad that I took a baseball bat and knocked the trap right off of my tree, spraying my grill with bait.  If you've read my other reviews, then I'm sure you know what follows next....<br /><br />Yup, raccoon attack.  I know, completely predictable right?  Unfortunately for me, I like to have a midnight burger.  Meat in hand, I sauntered out to the grill at 10 past midnight.  I felt confident that, since it was night time, and wasps are not active at night, that I could use the grill despite not having washed the bait off.  I popped the top of the grill and was confronted by a 20 pound raccoon, no wait, it must have been a 300 pound mutant raccoon... yeah, that's it....  I dropped my meat and turned to run.  As I sprinted right into my reinforced sliding glass door (I bounced off of it) the raccoon reared up and launched itself at me.  Before a passed out I saw its little beady eyes peering down at me.<br /><br />I woke up the next morning completely naked and covered in raw meat.  My wife claims that there was no raccoon, and that I was acting out some strange fantasy... but I know the truth..."
1,"You should monitor your dog very carefully if you give him/her these chews. One of our dogs died as a result of eating these chews, and the other three were very ill for two days. This product is very difficult for dogs to digest and can result in blocked intestines and infection. Since the package did not contain any warnings, we thought they were harmless. Be very careful if you buy these for your dog."
1,"Don't be fooled.  This is not teavana tea. A waste of $48.  Hopefully Teavana will bring back their popular tea soon.  Until then I am going back to coffee"
1,"Hard, tough, pasty aftertaste. Like gnawing on a rubber hose but with a less pleasant flavor. Somewhere in the back of that just woke up in the morning and scraped it off your teeth taste there was a lingering strawberryish flavor. An unripe and turned slightly bad strawberryish flavor with not a hint of sweetness. These were awful. So bad I couldn't swallow the bite I took. It was such a disappointment since I was really excited to get these after Runningrabbit stopped making the good stuff. If I fed these to my kids they would report me to CPS. I want to pull them out of the package and whip the CEO with them as punishment. If I'd never had candy in my life these would still taste terrible! Did I mention they aren't good.? Seriously, if you are looking for something that tastes anything like a red vine or any type of licorice this isn't it."
1,"Unfortunately, when my sugar arrived each package felt as hard as a brick. I opened one package and had to chip at it to obtain a few crumbs of sugar.  This is the first item ordered that I have had a problem with.  I emailed Amazon customer service, and they promptly sent a refund.  Thank you to Amazon for great customer service."
1,"This product was described as ""Medium Roast Sampler, K-Cup Portion Pack for Keurig K-Cup Brewers"" but contained over 50% extra bold...no return available....complete waste"
1,"I found these to be a bit too sour and they leave a bad after taste in my mouth.  Also they have a slimy film.  I would not recommend."
1,"I ordered the Sea Salt and Vinegar 1.5 ounce packs and received Sea Salt ones instead. A little disappointed, though I like the Sea Salt flavor ones - but I wanted to try the Vinegar version1"
1,"Smells and tastes like true jet fuel.  Absolutely disgusting!  I would not ever dare to pay for a cup of this nastiness!"
1,"Pros: Low Cal. Cons: Hardly any flavor. Seriously, I taste nothing but ""puff"". They get stale fast, and the bag always tears when opening. Always! Very annoying. Sorry, if you want cheddar flavor, look elsewhere. These remind me of rice crackers."
1,"I am extremely dissatisfied with the product and customer service from this company (Barry Farm). It says on the page for this product ""Usually ships within 6 to 10 days"". I ordered this product over three and a half weeks ago and just received it. I was still charged over $8.00 for shipping (more than the item was worth). I took precautions for the product not to sit in the sun and melt, ordering it so it would be delivered on a day I was home. This effort failed; the shipping and delivery dates changed...twice. I got an email from Amazon stating that they had not received notification of shipping from the seller (Barry Farm). I emailed the seller, received no response. I then got an email from Amazon a day later with a delivery time frame. The product did not arrive during the stated time frame (late). When it finally arrived, I received a bag of melted goo. But the interesting thing was, it was evident that the product had melted before, re-hardened, and then began to melt again in my mailbox. Due care was not taken to package the product in a manner that MAY have helped prevent such damage. I will not be ordering from this company again."
1,"I love these things. They are easy and you get a good amount of lean protein. However, the last two shipments have been dry. This is in stark contrast to the juicy and fresh ones that I have been getting for quite some time. I'm disappointed, and thinking of discontinuing my orders."
1,"I used the FRS powder for several months and had to stop using it because it caused stomach problems. I was using one or two packets per day (less than the recommended amount) and I even tried diluting it more than recommended to make it less strong/concentrated, but it still caused problems. The problems went away when I stopped drinking it.  While I like the taste and the convenience of the powder packets, it's not worth the gastric disturbance."
1,"I was just about to buy this, until I saw in the ingredients that it contains MSG. At least this product description tells you (the others don't). If you are like me, that means you'll get a nasty headache after eating this. How about offering MSG-free noodles like I can get locally?"
1,"I recently learned Waggin' Train, Canyon Creek and Milo's Kitchen treats are being investigated by the FDA after more than 1,000 dog deaths related to kidney failure were reported.  Please be very careful to read every detail of the treats you give your dog!  Their lives can depend on it.<br /><br />I lost my little 2-year-old sheltie to kidney failure within 2 weeks of diagnosis.  I had been very careful about the food and treats I gave her; reading the nutritional analysis, ingredients, etc.  I only gave her human grade products and thought these were ""natural"" and ""wholesome"". I didn't see the small print on the bag saying these were made in China. Her early death was a huge shock to us.  And to see that there is a link to her cause of death and the treats I gave her breaks my heart.  Please be very, very careful with these products.<br /><br />[...]"
1,"I received my order promptly and as promised yesterday.  My order included a hotair popcorn maker as well as a 4 pound container of Snappy Yellow Popcorn.  I was so excited when I received my order that I quickly opened the box and popped up my first big bowl of popcorn and boy was that a disappointment.  The new popcorn maker worked perfectly but the Snappy popcorn is stale.  I don't normally like to complain but the product was pretty bad.  On a good note, the popcorn pops up big, fluffy, and yellow.  If the popcorn wasn't stale it would probably be quite tasty.  There is no expiration date on the plastic container so I'm not sure if I possibly received a bad container. Perhaps if the container had plastic wrap around the lid or across the top under the lid it would keep the popcorn kernels fresh.  I haven't decided whether I should return the Snappy popcorn container or not but I wanted let others to know. Perhaps it is my fault because I didn't read the specific reviews to include the high and low ratings of this popcorn.  I just saw the overall rating of the popcorn was quite highly rated and highly recommended. My advice, read the reviews (good and bad)."
1,"i ordered this tea to produce more breastmilk after reading on forums how good it is. thinking that it is a very good item I ordered 4 box at one shot! What a mistake! I thought I could drink anything but this is the worst thing ever i ever tasted! Like few others say, it also stinks up your place. I dont know what to do with the whole 4 box, i wasnt even able to drink up the one single cup!"
1,"To prefix, I will eat almost anything, dried squid jerky, octopus served in its ink, sesame and seaweed Chinese candy (unleaded), intense ginger candy, and strange sea creatures that are squishy. Pulparindo and other Mexican salt candies must require some kind of tongue that I was not born with.  It causes my brain to do flips, not comprehending what I am eating.  Is it a salty snack, or is it candy?  These are two worlds that should not come together.  What next, pork Jolly Ranchers, or shrimp Jelly Bellies?"
1,"This entire line of products are crap!  They are not real coffee, but instant.  Do not waste your money.  You can get a better product at ANY dollar store."
1,"A number of us earnestly tried this product but after trying another brand, found this to be wanting very much.<br /><br />  With that said, there is a company making soy jerky that has better flavor, texture and quality. They even make jerky that is unsweetened. Most importantly, this company tasty eats does not have any garlic or onion powder in any of their products.<br /><br />  This was the biggest, we felt, downfall of this product. Except this company, every jerky company; except tasty eats which uses no garlic or onion powder in any of their product line, all would list garlic or onion if an ingredient. The primal strips company has ""vegetarian spices"" so one is not clear what this is. Even the company, after phoning them, are rather reticent about saying if their is granulated garlic or onion. But there is. In these primals strips, all are having some form of garlic, possibly onion.<br /><br />  We found tasty eats soy jerky to be Perfect. Really, in quality, texture and also the fact that they use no onion or garlic whatsoever."
1,"Out of the four blends of Starbucks coffee I have purchased and tried, this is by far the worst. Super bitter with a complementary disgusting after taste."
1,"We thought this was the sausage cabellas sold during the holidays, but there was nothing merry about my purchase. It made my wife and oldest son sick to there stomachs and throw up. We had to throw out the rest."
1,"Tried making this pizza crust but it just never got off the ground. I mixxed it in my bread machine and when I dumped it out it was too runnny to work with. Sticky dough on the floured board, sticky dough on my hands, sticky dough still in the bread machine pan. (Runny dough too). I added more gf flour, at least 6 times totaling over 2 cups and then gave up. We have been spoiled by Kinnickinnicks premade pizza crusts. I will try the Arrowhead mix 1 more but what a nightmare!"
1,"I have enjoyed Starbucks Via on several camping trips - what a life saver!  Recently someone gave me the Mocha flavored Via to try, apparently because they could not stand the taste after one sip.  Well I thought perhaps they were just too haughty, and I offered to take the rest.  I finally tried one last night, and now I know why it was given away by the previous taster.<br /><br />The Mocha flavored Via is disgusting.  Rather than having any flavor of chocolate at all, it has a strong artificial sweetener taste - as if someone dumped in a package of saccharine and called it cocoa.  It ruins what would otherwise be a usable cup of coffee.  Far superior is using the regular or Columbia flavored Via, and adding a few small squares of real Hersheys chocolate!"
1,"25 SCARLET / CAROLINA RED MAPLE TREE Acer Rubrum Seeds<br /><br />THEY ALL DIED ON ME!! WELL NEVER BUY THIS AGAIN!!"
1,"My family was very disappointed with this drink. We were surprised because we have always enjoyed Arizona Iced Tea. But as a mix with the Pomegranate and Green Tea, this drink tasted like a weak solution of grape lollipops. I think that you should mix the drink with less water than the container calls for and the taste will be more like  Pomegranate."
1,"I ate these with hummus... they turned my stomach. Thinking it might've been the hummus, I tried these again on another day... no good. I thought they'd be a great alternative to Ritz or other crackers... They were not. Very hard. Had a weird aftertase. Yuck."
1,"It never ceases to amaze me that you Brits eat this horrific dog food-paste.<br /><br />No wonder you lost the revolutionary war.<br /><br />It's clear from you eating Marmite and Vegamite that you never deserved those colonies anyway."
1,"This product that comes in the Amazon packaging is defective. It appears in an attempt to save cost, too little foil material is used to seal the top of the K-cup.  As a result, when the K-cup is punctured by the Keurig coffee maker, the foil lid separates from the side of the k-cup, resulting in an explosion of coffee grounds in the coffee maker.  Only 1 of 3 k-cups did not do this.  It is specifically this brand/packaging, since I was making other varieties of k-cup coffee in the same coffee maker in the same time and none of those broke the seal and left grounds all in the coffee maker.<br />Looking at the seal on this product, compared to other K-cups varieties, this seal is MUCH tighter, and since there is a larger amount of coffee grounds in this k-cup, there's a lot more to make a mess!<br />Loved the taste of the coffee, but can't waste so much time cleaning up the coffee pot!  Don't buy in the Amazon hassle-free packaging, you'll be sorry!"
1,"Love the laffy taffy.  But when I received this product, all of the protective plastic sealing was torn open (it actually looked torn open by a person as opposed to pressure breaking the seal).  Did not feel comfortable eating the product.  However, Amazon was great at quickly processing a refund.  I ended up buying the same product at the local Smart and Final for $4 less (around $9.00).  So the price of this product is much higher than it should be."
1,"I paid a much higher price for these plants, thinking I would get the best.  What was received was a can telling how to sow the seeds til they sprouted.  And, they have not sprouted yet.  This company advertised PLANTS, and send SEEDS"
1,"I've been trying to lose weight and eat a healthy diet, so I bought this along with some other products a couple of weeks ago because I was going to add this to things like popcorn and vegetables since the description said this had a cheesy flavor; plus I could use the extra fiber.  The day after I received this, I put some on my air popped popcorn and took it to work with me.  I ate a couple of pieces and ended up throwing the bag out.  I'm not really sure how to describe the taste, but it's definitely not a cheese like flavor.  I didn't like it at all."
1,"I was disappointed in the unpleasant flavor and dry texture of Nana's Chocolate Munch Cookie Bars. To me there was an odd artificial almost chemical like after taste in them that cocoa powder can't even cover up. I threw away the entire box after tasting the first bar."
1,"My recommendation is to stick with the k-cups that are NOT instant coffee.  For a few more bucks you can get REAL coffee k-cups and flavoured ones as well.  I won't be buying this product again."
1,"I must have gotten hold of a bad batch.  The other two reviewers loved it.  How to describe it...kind of think about washing your white load and then drinking the water before the spin/rinse cycle.  There was no garlic, no flavor at all, except for what I can only describe as disgusting.  The bottles went in the trash.  If there was a zero star option, I would have chosen it.  Sorry to disappoint."
1,"I tasted these for the first time today...  I am not a picky person, but this bar caused me to gag and I needed to rub the excess of this bar off with a nearby napkin. It really reminded my of acidy vomit."
1,"This is ridiculous! You are not SAVING $15.00, you are spending at least $5.00 MORE than you should be! The highest price for a 9oz. individual can in my area is $4.49 (I know, yikes!), so 27oz. would cost me around $14.00...why would I want to spend MORE MONEY?!? Thanks for wasting time- I'm obviously not going to find any savings from this company."
1,"Well executed but cloying and saccharine.<br /><br />""The Cross"" was an instrument of torture, and at the end the deposition it was coated with blood and excrement.<br /><br />Hard for me to swallow it as a cookie, but then again some folks ""Christianity"" begins and ends in sentiment."
1,"What I normally think of when I see candy rocks is a hard chocolate shell over a chocolate center.  Additionally, the product description includes the phrase ""Products are manufactured in a facility that processes tree nuts/peanuts, dairy wheat and soy products."" What it doesn't say is that the product CONTAINS tree nuts, jelly beans and who knows what else.  And this is a Kosher product! Likewise the manufacturer site does not mention the additional contents of this product.  Add to that, the nuts tasted somewhere between stale and fowl.<br /><br />I certainly will not purchase another product from Koppers unless I can taste it first.<br /><br />I called customer service, got a refund and threw the remaining 4.5 pounds in the trash."
1,"When I bought the small bag in the store, it was great. After I bought the 5lbs bag, not anymore. It is hard and taste like other gummi candies. I felt cheated. I was looking forward to receiving it, now I don't even want to eat it. They must have shipped an old bag to me. Probably won't buy from them again. At least not food."
1,"Oops!  I purchased this product thinking it was a white chocolate or at least some kind of chocolate flavor. Boy was I wrong.  Way over the top sweet.  I have been giving it away to unsuspecting friends and relatives, but don't tell them I hate it.  Never again...."
1,"We ordered the mango flavor margherita mix - but they sent us a case of regular flavor. NOT MANGO. Amazon is great about exchanging so I don't anticipate a problem, but not happy I sent this as a gift and didn't realize until recently that they had sent the wrong kind."
1,"The cans arrived all banged up.  I will never order from this company again."
1,"this is the worst coconut water i ever had.  my tongue still burns from whatever impurities are in this.  we are from the tropics, know fresh pure coconut water, but this should not even be on the market.  it had a sour chemical taste.  unfortunately, i did not know you cannot return this.  i do hope i get a refund."
1,"This was sent with absolutely no protective packaging. The contents of every can arrived smashed to bits. I would give 0 stars if possible. To top it off this is a non-returnable item.<br />Boo, Amazon."
1,"Why does JR Specialties attempt to trick young,gullible, aspiring chefs to use this cheap ARTIFICIAL oil?<br />DO your research- truffle oil is not natural JR, so that piece of info should  be included under PRODUCT DESCRIPTION.<br />At least when people pay for the crap you are selling, they should bw aware that it's crap and not some<br />european made high-end truffle oil!"
1,"My two cats did not like this stuff at all. I thought I would treat them to a more pricey organic food and they would love me for it...not so...one looked at me like I was nuts...she wouldn't go near it, the other gave it a try and barfed right in the bowl. The chicken and brown rice had a very fishy smell, not good. Sorry Paul, great dressings but the cats give you a thumbs down."
1,"The offer here is very clear, especially with the note that ""You save $42.81."" Yet when I went to order, I called PETCO first and they told me they are aware of the problem, have received complaints but have done nothing about it. The price advertised is for 5 patties only. This is false and deceptive advertising."
1,"I was excited to get the Lickety Stik for my dogs. It sounds like a good idea BUT the roller part DOES NOT roll and in order for the dog to get something to taste you must squeeze the container which can be a mess. I have four dogs, as I dog train in obedience and in tracking. In the beginning all four were interested, but then they all became frustrated with it. I ended up with $25.00 of this garbage. SAVE YOR MONEY.it's not worth it!"
1,"It took over a month to arrive and then three of the four jars arrived opened. It was such an oily mess that I won't bother to return. I can't comment on the fourth as I don't want to take chances eating it and getting sick."
1,"I, too, was fooled onto thinking these were filter packs. Not what I expected, or wanted at all.<br />Not worth the time and expense to return.<br />Not happy."
1,"We love Happy Baby products - cereals, puffs, yogurt melts, all the baby food - EXCEPT Gobble Gobble. Even my 3 year old choked on this. It really ticked me off when my 1 year old choked too! It is EXTREMELY dry and thick and lumpy. I cannot believe Happy Baby manufacturers and sells this stuff, and I can't believe retailers stock it. DO NOT BUY!"
1,"I've had this variety of tea from other sources, so I have an idea what it should taste like.  When I opened the bag, my nose was assaulted by a strong smell of turpentine - I thought it was the packaging, so I moved it into a plastic storage tub.  The brewed tea tasted equally of turpentine.  I did find that if you leave the tea out in the air, the taste and smell dissipates, but keeping it for any length of time in a closed container causes the turpentine taste/smell to return.  Even aerated, the tea has a very grassy taste to it.<br /><br />Maybe I got a bad batch, but I will not buy a Numi tea again after this bad experience."
1,"The service was fast and as promised. Unfortunately, the Biscotti was broken into very small pieces, with very few pieces intact.The product was padded at both ENDS of the box, but not the sides, and had obviously been mishandled. Sorry, but I would not risk buying this product by mail order again."
1,"I had a cup of this at a friend's home, and he asked me if I liked it. I told him frankly that it wasn't great; it tasted too much like instant coffee. He said that it WAS instant! Conclusion: It is anathema to use a K-Cup brewer to make INSTANT anything. And at 50 cents (minimum) per cup, it's got to be the height of misplaced convenience. There are wonderful flavored coffee K-Cup varieties out there -- try them."
1,"The Licorice spice tea is fragrant and delicious.<br />I was given some to try, and was so excited about this tea. I added it to my amazon.com<br />subscriptions. Several days later I mentioned this tea to my Doctor. He gave me a<br />strict warning against ANY kind od black Licorice.<br />This tea and all black licorice products need clearly posted warnings.<br />Not for consumption by anyone with high Blood pressure, or on blood pressure medicines.<br />The package had not yet arrived, I contacted amazon for return instructions and was told it is not return or refundable!  Very unhappy  :(<br />Stash Premium Licorice Spice Herbal Tea, Tea Bags, 20-Count Boxes (Pack of 6)"
1,"My husband and I both think this looks like and tastes like dog food. We were very sad and couldn't even eat more than one nugget size bite. We wish we had a way to return it! What a waste of money."
1,"We spent a few weeks in Morocco last year and bought ras el hanout in six different places--in Fez, Marrakesh, Rabat, and Meknes, at spice stands and supermarkets. The name means ""head of the shop""--it's a blend of up to 100 spices and every place has a slightly different formula. With all six, we got a mild, aromatic, subtly perfumy seasoning with a tremendous depth of flavor. We love it on steamed lamb shanks. It has an outstanding affinity for whole roast chicken: brush melted butter all over the chicken, then coat generously with ras el hanout and a little salt and pepper. Roast at 365° for 1 hour and 45 minutes, turning it over after the first hour. Fabulous! Ras el hanout is about the same color as cumin. (See the article in Wikipedia for info on the main ingredients.)<br /><br />We were sorry to find out that this product is nothing like the real deal. We bought it because our Morocco stash is running out. It looks and tastes like ordinary curry powder, including a fair amount of hot chili pepper, not at all like ras el hanout. We threw it out. Don't waste your money."
1,"It has too much raspberry flavor.  Tone it down.  I love raspberry chocolate but I would not buy another bag of your m&ms.  Sorry."
1,"Don't be fooled by ""sugar free"".  This product is very high in carbs (17g per tablespoon)!  If your diabetic be sure to buy the carb smart product."
1,"I placed an order with Amazon for these berries, when the package came the berries were Rotten. They were soft, sprouting and had some mold. I called Amazon who immediately sent out a new package. However, that package was also moldy and sprouting. Amazon was great about giving me a refund without any questions - but it still leaves me without any berries."
1,"She is showing the original Sweetheart Candies and sent out the New ones that I didn't want. I am so angry.<br />Bait and switch.  The only reason I bought them because it shows the ones I wanted. Lies."
1,"I am pretty sensitive to caffeine so I was a bit nervous about taking this stuff. If I drink coffee or tea on an empty stomach I tend to get the heebie-jeebies. I drank a full bottle and didn't really feel anything. Nothing good and nothing bad. I took the berry flavor and it wasn't that bad at all. I think I'll stick to some strong Irish tea."
